1a 2
2a 4
3a 1 3
4a 3 4 5
5a 5
6a 5
7a 8
8a 6
9a 6
10a 7
11a 7
12a 9 10
14a 7 10
15a 6 9 10
16a 9
17a 1 13
18a 11 13 14
19a 11 13 14
20a 11 13 14
21a 11 13 14
22a 12
23a 11 13 14
24a 12
25a 15 16
26a 15 16
27a 16
28a 17 18
29a 17 18
30a 17 19 20
31a 17 19 20
32a 17 19 20
33a 17 19 20
1p 16
2p 12
3p 6
4p 6
5p 6
6p 6
7p 12
8p 18
9p 2
10p 12
11p 6 7 8 9 10
12p 11
13p 9
14p 11 13
15p 11 13
16p 6
17p 7
18p 2
19p 18
20p 19
